entity,n-authors,n-revs
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/AddressListPageModelInitialiser.cs,2,5
Code/CMS/CMS/Assets/sass/modules/controls/_product-list.scss,2,4
Code/CMS/CMS/Assets/sass/base/_icons.scss,2,4
Code/CMS/CMS/Assets/sass/layout/_basket.scss,2,4
Code/CMS/CMS/Assets/sass/modules/controls/_order-line.scss,2,4
Code/Core/WebPOS.Core.ServiceLayer/AutoMapperProfiles/NavigationPageMapperProfile.cs,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Filters/ProductListResultsGridViewModel.cs,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/ProductPage/ProductPageGroupedMatrix1VariantViewModel.cs,2,4
Code/Core/WebPOS.Core.RepositoryLayer/App.Config,2,4
Code/CMS/CMS/app_build/app/search.js,2,4
Code/CMS/CMS/Assets/sass/base/_bootstrap-overrides.scss,2,4
Code/CMS/CMS/Assets/sass/themes/_inputs.scss,2,4
Code/Core/WebPOS.Core.DataLayer/Entities/UserEntity.cs,2,4
Code/Integration/WebPOS.Integration/Persisters/Implementation/StockPersister.cs,2,4
Code/Admin/Admin/app_build/ViewModels/Addresses/AccountAddress.js,2,4
Code/CMS/CMS/Assets/sass/layout/_checkout-confirmation.scss,2,4
Code/Admin/Admin/Views/Pages/ProductDetails.cshtml,2,4
Database/CMS_Database/Security/setup.sql,2,4
Code/CMS/CMS/Views/Shared/EditorTemplates/FormTextBox.cshtml,2,4
Code/Core/WebPOS.Core.ModelLayer/EmailManagement/EmailTypes/Data/CustomerRegistrationRequestEmailData.cs,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/Checkout/CheckoutDeliveryOptionsPageModel.cs,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/UserManagementPageModel.cs,2,4
Code/CMS/CMS/Views/MyAccount/DisplayTemplates/PrintOrderViewModel.cshtml,2,4
Code/CMS/CMS/app_build/app/address-book.js,2,4
Code/Integration/WebPOS.Integration.Conversion/Products/ProductMatricesConverter.cs,2,4
Code/Core/WebPOS.Core.ModelLayer/EmailManagement/OrderEmailExtensions.cs,2,4
Code/CMS/CMS/Assets/sass/modules/controls/_calculated-ui-price.scss,2,4
Code/Core/WebPOS.Core.ServiceLayer/ProductManagement/Implementation/ProductManager.cs,2,4
Code/CMS/CMS/Views/Ecommerce/Category.cshtml,2,4
Code/CMS/CMS/Assets/sass/modules/_sticky-footer.scss,2,4
Code/CMS/CMS/Views/Checkout/DisplayTemplates/BasketSummaryViewModel.cshtml,2,4
Code/CMS/CMS/Assets/sass/utils/_media-queries.scss,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/ProductPage/ProductPageGroupedVariantViewModel.cs,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/UserManagementPageModelInitialiser.cs,2,4
Database/CMS_Database/Scripts/Post-Deployment/Ref/Roles.sql,2,4
Database/CMS_Database/Scripts/Post-Deployment/SiteTemplates/StateSide_Skates.sql,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Filters/UserManagementFilterSettingsViewModel.cs,2,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/AddressListPageModel.cs,2,4
Code/CMS/CMS/Assets/sass/base/_reset.scss,2,4
Code/Integration/WebPOS.Integration/Importers/Implementation/ProductPriceImporter.cs,2,4
